GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED
Lineups,-203114-203468-1628963-1630551-1642267-,K. Middleton - C. McCollum - M. Bagley III - J. Champagnie - B. Carrington,1610612764,WAS,1,0,1,0.0,6.0,165.2,183.3,81.8,75.0,83.3,108.3,0.625,0.0,26.3,0.4,0.571,0.5,0.0,0.731,0.768,101.6,100.23,83.53,12,0.946,73,63,36,63,39,16,74,16,96,111,34,54,143,81,1,57,44,208,39,17240
Lineups,-1628963-1642267-1642273-1642364-1642860-,M. Bagley III - B. Carrington - K. George - J. Watkins - W. Riley,1610612764,WAS,2,1,1,0.5,6.0,121.1,122.2,125.6,110.0,-4.4,12.2,0.667,2.0,14.3,0.5,0.286,0.385,0.111,0.438,0.496,73.6,78.4,65.33,9,0.474,27,2,36,36,38,78,144,81,80,29,118,29,185,167,152,138,147,275,109,17450
Lineups,-1628963-1630557-1641715-1642267-1642273-,M. Bagley III - C. Kispert - C. Whitmore - B. Carrington - K. George,1610612764,WAS,2,0,2,0.0,6.0,88.1,92.9,110.8,93.3,-22.7,-0.5,0.6,1.0,16.7,0.143,0.6,0.333,0.214,0.455,0.509,115.1,121.86,101.55,14,0.25,27,63,225,63,42,141,94,136,99,57,100,126,135,172,205,136,137,88,163,17135
Lineups,-1631103-1642259-1642267-1642273-1642860-,M. Branham - A. Sarr - B. Carrington - K. George - W. Riley,1610612764,WAS,1,0,1,0.0,6.0,101.1,100.0,153.3,160.0,-52.2,-60.0,1.0,1.33,26.7,0.0,0.75,0.429,0.273,0.643,0.698,89.5,88.16,73.47,11,0.355,73,63,36,63,41,105,225,200,1,53,33,134,90,149,226,77,71,250,147,17150
Lineups,-1631103-1641774-1642358-1642848-1642860-,M. Branham - T. Vukcevic - A. Johnson - T. Johnson - W. Riley,1610612764,WAS,1,0,1,0.0,6.0,142.9,133.3,150.0,150.0,-7.1,-16.7,0.667,4.0,22.2,0.4,0.667,0.545,0.083,0.6,0.656,89.6,92.65,77.21,12,0.5,73,63,36,63,34,52,203,153,80,6,58,54,107,70,142,93,81,239,97,18650
Lineups,-1630264-1630551-1631103-1642364-1642860-,A. Gill - J. Champagnie - M. Branham - J. Watkins - W. Riley,1610612764,WAS,1,0,1,0.0,5.0,128.9,125.0,131.6,127.3,-2.7,-2.3,0.5,1.0,13.3,0.25,1.0,0.4,0.167,0.563,0.705,113.4,117.03,97.53,12,0.447,73,63,36,63,53,67,177,138,108,57,135,96,1,160,173,101,69,101,119,14150
Lineups,-1630264-1631103-1641715-1642364-1642860-,A. Gill - M. Branham - C. Whitmore - J. Watkins - W. Riley,1610612764,WAS,1,0,1,0.0,5.0,36.8,40.0,131.6,130.0,-94.8,-90.0,1.0,0.25,7.7,0.4,0.333,0.375,0.4,0.167,0.291,105.6,101.77,84.81,10,-0.308,73,63,36,63,53,195,184,219,1,106,157,54,179,170,253,189,184,195,254,14150
Lineups,-1630557-1641731-1642259-1642267-1642848-,C. Kispert - B. Coulibaly - A. Sarr - B. Carrington - T. Johnson,1610612764,WAS,2,0,2,0.0,5.0,103.4,100.0,110.5,108.3,-7.2,-8.3,1.0,0.67,14.3,0.333,0.714,0.6,0.273,0.5,0.72,107.2,110.03,91.69,11,0.457,27,63,225,63,50,105,143,145,1,87,118,69,103,49,226,114,65,134,114,15050
Lineups,-203468-1628963-1630557-1641731-1642273-,C. McCollum - M. Bagley III - C. Kispert - B. Coulibaly - K. George,1610612764,WAS,2,0,2,0.0,5.0,118.2,118.2,141.7,127.3,-23.5,-9.1,0.5,1.5,20.0,0.25,0.75,0.5,0.182,0.65,0.65,110.1,116.04,96.7,11,0.439,27,63,225,63,57,88,177,146,108,49,72,96,90,81,187,76,85,107,121,13650
Lineups,-203468-1628963-1630557-1631103-1642267-,C. McCollum - M. Bagley III - C. Kispert - M. Branham - B. Carrington,1610612764,WAS,1,0,1,0.0,5.0,84.7,88.9,123.9,122.2,-39.1,-33.3,0.333,1.0,8.3,0.286,0.5,0.385,0.111,0.35,0.383,95.9,94.25,78.55,9,0.226,73,63,36,63,56,147,163,169,149,57,152,89,150,167,152,154,167,231,167,13750
Lineups,-1630551-1641731-1642259-1642267-1642273-,J. Champagnie - B. Coulibaly - A. Sarr - B. Carrington - K. George,1610612764,WAS,4,0,4,0.0,5.0,118.2,108.3,109.1,85.7,9.1,22.6,0.8,1.33,23.5,0.25,0.6,0.444,0.25,0.813,0.813,105.4,124.55,103.79,12,0.544,7,63,272,63,51,101,87,71,66,53,53,96,135,142,212,38,39,76,90,15030
Lineups,-1630551-1630557-1641715-1642273-1642848-,J. Champagnie - C. Kispert - C. Whitmore - K. George - T. Johnson,1610612764,WAS,1,0,1,0.0,5.0,145.5,123.1,140.0,140.0,5.5,-16.9,0.667,4.0,17.4,0.727,1.0,0.769,0.077,0.533,0.533,92.0,100.73,83.94,13,0.46,73,63,36,63,45,77,196,156,80,6,98,19,1,22,140,106,130,201,113,16440
